age	phenotype_name	date	yeardate	value.correction
1	DiastolicIntervals_StdDevOnMedian	90715	150709	-0.0441179227903165
1	DiastolicIntervals_StdDevOnMedian	100715	150710	-0.115309889999462
1	DiastolicIntervals_StdDevOnMedian	140316	160314	-0.144338515094297
1	DiastolicIntervals_StdDevOnMedian	150316	160315	-0.128483781532562
1	DiastolicIntervals_StdDevOnMedian	220316	160322	-0.129164117668053
1	DiastolicIntervals_StdDevOnMedian	300316	160330	-0.0853348052046125
1	DiastolicIntervals_StdDevOnMedian	300615	150630	-0.0750479872708036
1	DiastolicIntervals_StdDevOnMedian	250215	150225	-0.11743085154556
1	DiastolicIntervals_StdDevOnMedian	260115	150126	0.0299673686904289
1	DiastolicIntervals_StdDevOnMedian	21214	141202	-0.0469969867739514
1	DiastolicIntervals_StdDevOnMedian	41214	141204	-0.0276058831612532
1	DiastolicIntervals_StdDevOnMedian	100614	140610	-0.0383503956756894
1	DiastolicIntervals_StdDevOnMedian	60416	160406	-0.11188529416212
1	DiastolicIntervals_StdDevOnMedian	80316	160308	-0.130847820805771
1	DiastolicIntervals_StdDevOnMedian	120416	160412	-0.0947781552205528
1	DiastolicIntervals_StdDevOnMedian	160316	160316	-0.103215090631766
1	DiastolicIntervals_StdDevOnMedian	200215	150220	-0.115232885186153
1	DiastolicIntervals_StdDevOnMedian	170316	160317	-0.00963500130860015
1	DiastolicIntervals_StdDevOnMedian	230316	160323	-0.0972828274595502
1	DiastolicIntervals_StdDevOnMedian	161215	151216	-0.10382252641289
1	DiastolicIntervals_StdDevOnMedian	171215	151217	-0.104970284943542
1	DiastolicIntervals_StdDevOnMedian	181215	151218	-0.0931544141096303
1	DiastolicMeanDiameter	200215	150220	-7.04624884762555
1	DiastolicMeanDiameter	240215	150224	-6.66146959423198
1	DiastolicMeanDiameter	250215	150225	-6.53613395845741
1	DiastolicMeanDiameter	260115	150126	-12.9554267288892
1	DiastolicMeanDiameter	260215	150226	-11.0583421532534
1	DiastolicMeanDiameter	270115	150127	-13.2052231953063
1	DiastolicMeanDiameter	280115	150128	-8.09161052951301
1	DiastolicMeanDiameter	21214	141202	-8.46876091311941
1	DiastolicMeanDiameter	31214	141203	-6.81105925195712
1	DiastolicMeanDiameter	40614	140604	0
1	DiastolicMeanDiameter	60614	140606	3.01211022903034
1	DiastolicMeanDiameter	100614	140610	-8.50026875340743
1	DiastolicMeanDiameter	101214	141210	-10.2679074776198
1	DiastolicMeanDiameter	190614	140619	0.481093415024818
1	DiastolicMeanDiameter	230614	140623	-0.581194685032914
1	DiastolicMeanDiameter	180614	140618	4.20449909160012
1	DiastolicMeanDiameter	250614	140625	-4.8249997041234
1	DiastolicMeanDiameter	10715	150701	-4.44427080494606
1	DiastolicMeanDiameter	20715	150702	-8.11297700616332
1	DiastolicMeanDiameter	60416	160406	-10.893069442941
1	DiastolicMeanDiameter	80316	160308	4.71330302437512
1	DiastolicMeanDiameter	90316	160309	-4.77816574076364
1	DiastolicMeanDiameter	90715	150709	-4.81357175889797
1	DiastolicMeanDiameter	100715	150710	-7.23068273583128
1	DiastolicMeanDiameter	140316	160314	-2.24649878418476
1	DiastolicMeanDiameter	150316	160315	-3.95134539490795
1	DiastolicMeanDiameter	160316	160316	-11.9344954168783
1	DiastolicMeanDiameter	220316	160322	-13.5655076687739
1	DiastolicMeanDiameter	230316	160323	-3.55734921865568
1	DiastolicMeanDiameter	300316	160330	-7.6061338488795
1	DiastolicMeanDiameter	300615	150630	-0.767177678301866
1	DiastolicMeanDiameter	41214	141204	-14.8037706043152
1	DiastolicMeanDiameter	50614	140605	-2.95754564633315
1	DiastolicMeanDiameter	111214	141211	1.29070746569647
1	DiastolicMeanDiameter	120416	160412	-6.79704845712187
1	DiastolicMeanDiameter	170316	160317	3.86779111389584
1	DiastolicMeanDiameter	161215	151216	0.815564226235219
1	DiastolicMeanDiameter	171215	151217	-1.61630188174955
1	DiastolicMeanDiameter	181215	151218	-6.78696788349289
1	DI_on_Hp_Mean	200215	150220	0.0151275374750374
1	DI_on_Hp_Mean	240215	150224	-0.047860187395087
1	DI_on_Hp_Mean	250215	150225	0.00490646726699181
1	DI_on_Hp_Mean	260215	150226	-0.0374554820304152
1	DI_on_Hp_Mean	270115	150127	-0.00453867921559986
1	DI_on_Hp_Mean	280115	150128	0.0513797250425212
1	DI_on_Hp_Mean	21214	141202	0.00436064592180801
1	DI_on_Hp_Mean	31214	141203	0.0498673533867032
1	DI_on_Hp_Mean	40614	140604	0
1	DI_on_Hp_Mean	41214	141204	-0.0678527517508758
1	DI_on_Hp_Mean	50614	140605	-0.0297983262323404
1	DI_on_Hp_Mean	60614	140606	0.0319258081347996
1	DI_on_Hp_Mean	100614	140610	0.00830904623148206
1	DI_on_Hp_Mean	101214	141210	0.0292377049957402
1	DI_on_Hp_Mean	111214	141211	0.0895907921476526
1	DI_on_Hp_Mean	190614	140619	0.0702266820783288
1	DI_on_Hp_Mean	230614	140623	0.0641947376931646
1	DI_on_Hp_Mean	180614	140618	0.0377360184737253
1	DI_on_Hp_Mean	250614	140625	0.0709372128576609
1	DI_on_Hp_Mean	10715	150701	0.0345214690916885
1	DI_on_Hp_Mean	20715	150702	0.0901676430570336
1	DI_on_Hp_Mean	60416	160406	0.00812963949754426
1	DI_on_Hp_Mean	80316	160308	0.0669341564457318
1	DI_on_Hp_Mean	90316	160309	0.0506826481733437
1	DI_on_Hp_Mean	90715	150709	0.0262501434827657
1	DI_on_Hp_Mean	100715	150710	0.045730909733962
1	DI_on_Hp_Mean	140316	160314	0.0198822436973185
1	DI_on_Hp_Mean	150316	160315	0.0220867548185277
1	DI_on_Hp_Mean	160316	160316	0.0266857831099694
1	DI_on_Hp_Mean	220316	160322	0.0322706078587875
1	DI_on_Hp_Mean	230316	160323	0.0257977068119578
1	DI_on_Hp_Mean	300316	160330	0.0633426924990923
1	DI_on_Hp_Mean	300615	150630	0.0619868157195787
1	DI_on_Hp_Mean	260115	150126	0.0512554792482087
1	DI_on_Hp_Mean	120416	160412	-0.0270983438484163
1	DI_on_Hp_Mean	170316	160317	0.066375343258323
1	DI_on_Hp_Mean	161215	151216	-0.00643695311881792
1	DI_on_Hp_Mean	171215	151217	-0.0356545979169082
1	DI_on_Hp_Mean	181215	151218	-0.0747307677042637
1	FractionalShortening	200215	150220	-0.0184823746950861
1	FractionalShortening	250215	150225	-0.0391974926102633
1	FractionalShortening	260115	150126	-0.0376481978821185
1	FractionalShortening	260215	150226	-0.0132123718786181
1	FractionalShortening	270115	150127	-0.0259643108669672
1	FractionalShortening	280115	150128	-0.00955743670046342
1	FractionalShortening	21214	141202	-0.0287498039686575
1	FractionalShortening	31214	141203	-0.0220672446170681
1	FractionalShortening	40614	140604	0
1	FractionalShortening	60614	140606	0.000517663918304679
1	FractionalShortening	100614	140610	0.0209965647582228
1	FractionalShortening	101214	141210	-2.30288609219589e-05
1	FractionalShortening	190614	140619	-0.0194210467359846
1	FractionalShortening	230614	140623	-0.0217280038592245
1	FractionalShortening	180614	140618	0.0212042345464955
1	FractionalShortening	250614	140625	-0.0106385820673735
1	FractionalShortening	10715	150701	-0.0363143082712693
1	FractionalShortening	60416	160406	-0.0435786117932636
1	FractionalShortening	80316	160308	-0.00635213538038421
1	FractionalShortening	90316	160309	0.00640387676995251
1	FractionalShortening	90715	150709	-0.0286171206909462
1	FractionalShortening	100715	150710	0.000549343262872201
1	FractionalShortening	140316	160314	-0.0297210670856082
1	FractionalShortening	150316	160315	-0.00976923601661635
1	FractionalShortening	160316	160316	-0.0512652670448817
1	FractionalShortening	220316	160322	-0.0443553281705042
1	FractionalShortening	230316	160323	-0.0534908611070458
1	FractionalShortening	300615	150630	-0.0689530386791208
1	FractionalShortening	240215	150224	0.000656870995024403
1	FractionalShortening	41214	141204	0.00426471761277828
1	FractionalShortening	50614	140605	-0.0046823725207631
1	FractionalShortening	111214	141211	-0.039836510909039
1	FractionalShortening	20715	150702	-0.0530957753385617
1	FractionalShortening	120416	160412	0.000859090831176546
1	FractionalShortening	170316	160317	-0.0191774112102286
1	FractionalShortening	300316	160330	-0.0231394537948715
1	FractionalShortening	161215	151216	-0.00739396266792918
1	FractionalShortening	171215	151217	-0.00428429585520638
1	FractionalShortening	181215	151218	-0.0109294294280011
1	Heartperiod_Mean	200215	150220	-0.0141479521111697
1	Heartperiod_Mean	240215	150224	-0.105549734740637
1	Heartperiod_Mean	250215	150225	-0.0126754268914785
1	Heartperiod_Mean	260215	150226	-0.0564708054514019
1	Heartperiod_Mean	270115	150127	-0.063145739347043
1	Heartperiod_Mean	280115	150128	0.0576642537045219
1	Heartperiod_Mean	21214	141202	-0.0244088988549503
1	Heartperiod_Mean	31214	141203	0.0175136372478245
1	Heartperiod_Mean	40614	140604	0
1	Heartperiod_Mean	41214	141204	-0.0699952742655708
1	Heartperiod_Mean	50614	140605	0.0170962779378152
1	Heartperiod_Mean	60614	140606	0.0384171685410775
1	Heartperiod_Mean	100614	140610	-0.035465254221067
1	Heartperiod_Mean	101214	141210	0.0700660245186197
1	Heartperiod_Mean	111214	141211	0.16498107476997
1	Heartperiod_Mean	190614	140619	0.123756692349209
1	Heartperiod_Mean	230614	140623	0.0975241523401843
1	Heartperiod_Mean	180614	140618	0.160063976769773
1	Heartperiod_Mean	250614	140625	0.131062223335221
1	Heartperiod_Mean	10715	150701	-0.0113669462798326
1	Heartperiod_Mean	20715	150702	0.20046712109115
1	Heartperiod_Mean	60416	160406	0.0142822500485222
1	Heartperiod_Mean	80316	160308	0.117535774900734
1	Heartperiod_Mean	90316	160309	0.0245952826677418
1	Heartperiod_Mean	90715	150709	-0.00766426949412166
1	Heartperiod_Mean	100715	150710	0.129571841153482
1	Heartperiod_Mean	140316	160314	0.0761492750498103
1	Heartperiod_Mean	150316	160315	0.0586483653966368
1	Heartperiod_Mean	220316	160322	0.0125738148461943
1	Heartperiod_Mean	230316	160323	0.0729887273600881
1	Heartperiod_Mean	300316	160330	0.0745991265592914
1	Heartperiod_Mean	300615	150630	0.0596836343697907
1	Heartperiod_Mean	260115	150126	0.000478487916857801
1	Heartperiod_Mean	120416	160412	-0.115884247135189
1	Heartperiod_Mean	160316	160316	0.0640513661358807
1	Heartperiod_Mean	170316	160317	0.162140537478475
1	Heartperiod_Mean	161215	151216	0.0103266303542282
1	Heartperiod_Mean	171215	151217	-0.0867524568297114
1	Heartperiod_Mean	181215	151218	-0.149661172809863
1	Heartperiod_Median	200215	150220	-0.0239650020996723
1	Heartperiod_Median	240215	150224	-0.113677754998207
1	Heartperiod_Median	250215	150225	-0.056169404676466
1	Heartperiod_Median	260215	150226	-0.0714994321266802
1	Heartperiod_Median	270115	150127	-0.0639714305147974
1	Heartperiod_Median	280115	150128	0.0848938736951716
1	Heartperiod_Median	21214	141202	-0.0464650690555568
1	Heartperiod_Median	31214	141203	0.0110079126827646
1	Heartperiod_Median	40614	140604	0
1	Heartperiod_Median	41214	141204	-0.0894343703985215
1	Heartperiod_Median	50614	140605	-0.0183347007541944
1	Heartperiod_Median	60614	140606	0.0170993755261111
1	Heartperiod_Median	100614	140610	-0.0612776262892612
1	Heartperiod_Median	101214	141210	0.0692200737469133
1	Heartperiod_Median	111214	141211	0.155484315572363
1	Heartperiod_Median	190614	140619	0.111861045161883
1	Heartperiod_Median	230614	140623	0.0942420446210454
1	Heartperiod_Median	180614	140618	0.0667805025974918
1	Heartperiod_Median	250614	140625	0.173085989825654
1	Heartperiod_Median	10715	150701	-0.0087606678406389
1	Heartperiod_Median	20715	150702	0.200741241375606
1	Heartperiod_Median	60416	160406	0.0173192371924723
1	Heartperiod_Median	80316	160308	0.104029445184602
1	Heartperiod_Median	90316	160309	0.0100730084108591
1	Heartperiod_Median	90715	150709	-0.00952189067999449
1	Heartperiod_Median	100715	150710	0.124735655658173
1	Heartperiod_Median	140316	160314	0.0646095623572672
1	Heartperiod_Median	150316	160315	0.0504900781494205
1	Heartperiod_Median	160316	160316	0.0801586459080385
1	Heartperiod_Median	220316	160322	0.0256301313638693
1	Heartperiod_Median	230316	160323	0.0349997431039816
1	Heartperiod_Median	300316	160330	0.0741871744394308
1	Heartperiod_Median	300615	150630	0.0427494277556748
1	Heartperiod_Median	260115	150126	-0.0142515907684956
1	Heartperiod_Median	120416	160412	-0.131458513212926
1	Heartperiod_Median	170316	160317	0.139726397214514
1	Heartperiod_Median	161215	151216	0.00581472615401011
1	Heartperiod_Median	171215	151217	-0.11367894510428
1	Heartperiod_Median	181215	151218	-0.150494361917177
1	Heartperiod_StdDev	260215	150226	-0.0287697302581275
1	Heartperiod_StdDev	270115	150127	-0.0370968992796213
1	Heartperiod_StdDev	280115	150128	0.00190684445885149
1	Heartperiod_StdDev	31214	141203	-0.0134161254495462
1	Heartperiod_StdDev	40614	140604	0
1	Heartperiod_StdDev	41214	141204	-0.000280636134971766
1	Heartperiod_StdDev	50614	140605	-0.0160984896929519
1	Heartperiod_StdDev	60614	140606	0.0243546737784759
1	Heartperiod_StdDev	100614	140610	0.0460434784421714
1	Heartperiod_StdDev	101214	141210	-0.0349168380211873
1	Heartperiod_StdDev	111214	141211	0.0205343463775032
1	Heartperiod_StdDev	190614	140619	-0.0404131202546922
1	Heartperiod_StdDev	230614	140623	-0.00728854631618725
1	Heartperiod_StdDev	180614	140618	0.0430743867049238
1	Heartperiod_StdDev	250614	140625	0.0427947703069287
1	Heartperiod_StdDev	10715	150701	-0.0253048784063812
1	Heartperiod_StdDev	60416	160406	-0.015579655792121
1	Heartperiod_StdDev	90316	160309	-0.0418974055552702
1	Heartperiod_StdDev	90715	150709	-0.00141570096811811
1	Heartperiod_StdDev	100715	150710	-0.0239187875391603
1	Heartperiod_StdDev	140316	160314	-0.0315441134289255
1	Heartperiod_StdDev	150316	160315	-0.0431729843882822
1	Heartperiod_StdDev	220316	160322	-0.0309942882538764
1	Heartperiod_StdDev	300316	160330	-0.0249113334732795
1	Heartperiod_StdDev	300615	150630	0.0025788173829442
1	Heartperiod_StdDev	240215	150224	-0.0125340460280947
1	Heartperiod_StdDev	250215	150225	-0.0425577876038097
1	Heartperiod_StdDev	260115	150126	0.0242545012721344
1	Heartperiod_StdDev	21214	141202	-0.0180580174938302
1	Heartperiod_StdDev	20715	150702	0.00653615934559993
1	Heartperiod_StdDev	80316	160308	-0.000842352641548022
1	Heartperiod_StdDev	120416	160412	-0.0198018770299354
1	Heartperiod_StdDev	160316	160316	-0.020272609068445
1	Heartperiod_StdDev	200215	150220	-0.0456136477468413
1	Heartperiod_StdDev	170316	160317	0.0205227304895248
1	Heartperiod_StdDev	230316	160323	-0.0235171810368599
1	Heartperiod_StdDev	161215	151216	-0.0362635348005542
1	Heartperiod_StdDev	171215	151217	-0.000137413786964352
1	Heartperiod_StdDev	181215	151218	-0.0418676767288046
1	Heartperiod_StdDevOnMedian	260215	150226	-0.0378557388332185
1	Heartperiod_StdDevOnMedian	270115	150127	-0.046896140275615
1	Heartperiod_StdDevOnMedian	280115	150128	-0.0151151775147495
1	Heartperiod_StdDevOnMedian	31214	141203	-0.00131965248780126
1	Heartperiod_StdDevOnMedian	40614	140604	0
1	Heartperiod_StdDevOnMedian	41214	141204	0.0291770568260569
1	Heartperiod_StdDevOnMedian	50614	140605	-0.018234822358183
1	Heartperiod_StdDevOnMedian	60614	140606	0.0312395668552047
1	Heartperiod_StdDevOnMedian	100614	140610	0.0193076272276105
1	Heartperiod_StdDevOnMedian	101214	141210	-0.0745316752500221
1	Heartperiod_StdDevOnMedian	111214	141211	-0.0267292749623868
1	Heartperiod_StdDevOnMedian	190614	140619	-0.056836664497949
1	Heartperiod_StdDevOnMedian	230614	140623	-0.0486543880046443
1	Heartperiod_StdDevOnMedian	180614	140618	-0.0541974594902324
1	Heartperiod_StdDevOnMedian	250614	140625	0.0716428977632346
1	Heartperiod_StdDevOnMedian	10715	150701	-0.0387504620599984
1	Heartperiod_StdDevOnMedian	60416	160406	-0.0180474972863227
1	Heartperiod_StdDevOnMedian	90316	160309	-0.0865267047533866
1	Heartperiod_StdDevOnMedian	90715	150709	-0.0133909057518946
1	Heartperiod_StdDevOnMedian	100715	150710	-0.0683007200122627
1	Heartperiod_StdDevOnMedian	140316	160314	-0.109738184285114
1	Heartperiod_StdDevOnMedian	150316	160315	-0.0357280444453579
1	Heartperiod_StdDevOnMedian	220316	160322	-0.066288836262076
1	Heartperiod_StdDevOnMedian	300316	160330	-0.0348519677103347
1	Heartperiod_StdDevOnMedian	300615	150630	-0.00156843776633212
1	Heartperiod_StdDevOnMedian	240215	150224	-0.0103876268824685
1	Heartperiod_StdDevOnMedian	250215	150225	-0.0735931702889356
1	Heartperiod_StdDevOnMedian	260115	150126	0.0609109511016041
1	Heartperiod_StdDevOnMedian	21214	141202	-0.0362591552330951
1	Heartperiod_StdDevOnMedian	20715	150702	-0.00836801923584575
1	Heartperiod_StdDevOnMedian	80316	160308	-0.0442158657704093
1	Heartperiod_StdDevOnMedian	120416	160412	-0.0364815901703181
1	Heartperiod_StdDevOnMedian	160316	160316	-0.0516212194544774
1	Heartperiod_StdDevOnMedian	170316	160317	0.0352512774090156
1	Heartperiod_StdDevOnMedian	230316	160323	-0.00421103527909306
1	Heartperiod_StdDevOnMedian	200215	150220	-0.0783271453931884
1	Heartperiod_StdDevOnMedian	161215	151216	-0.0781604131037671
1	Heartperiod_StdDevOnMedian	181215	151218	-0.0497702153446515
1	Heartperiod_StdDevOnMedian	171215	151217	-0.0821329805625945
1	Heartrate_Mean	200215	150220	0.038783885680968
1	Heartrate_Mean	240215	150224	0.509282374882781
1	Heartrate_Mean	250215	150225	0.178610162005935
1	Heartrate_Mean	260215	150226	0.206153422233881
1	Heartrate_Mean	270115	150127	0.166747172702394
1	Heartrate_Mean	280115	150128	-0.272710450918138
1	Heartrate_Mean	21214	141202	0.143431084772339
1	Heartrate_Mean	31214	141203	-0.0533700672813324
1	Heartrate_Mean	40614	140604	0
1	Heartrate_Mean	41214	141204	0.389001538270496
1	Heartrate_Mean	50614	140605	-0.0830443011793308
1	Heartrate_Mean	60614	140606	-0.0736949911255095
1	Heartrate_Mean	100614	140610	0.156922207401709
1	Heartrate_Mean	101214	141210	-0.130218953871885
1	Heartrate_Mean	111214	141211	-0.440051212061614
1	Heartrate_Mean	190614	140619	-0.305938448441128
1	Heartrate_Mean	230614	140623	-0.308276604575937
1	Heartrate_Mean	180614	140618	-0.244746157831419
1	Heartrate_Mean	250614	140625	-0.404769410240643
1	Heartrate_Mean	10715	150701	-0.0117277866093924
1	Heartrate_Mean	20715	150702	-0.504389191448947
1	Heartrate_Mean	60416	160406	-0.159177543547474
1	Heartrate_Mean	80316	160308	-0.49571792735484
1	Heartrate_Mean	90316	160309	-0.13009045458494
1	Heartrate_Mean	90715	150709	-0.0613955027362831
1	Heartrate_Mean	100715	150710	-0.343049200910879
1	Heartrate_Mean	140316	160314	-0.218899974008988
1	Heartrate_Mean	150316	160315	-0.1821781177161
1	Heartrate_Mean	160316	160316	-0.325521223691761
1	Heartrate_Mean	220316	160322	-0.0894798423645863
1	Heartrate_Mean	230316	160323	-0.132496660933048
1	Heartrate_Mean	300316	160330	-0.238693720793836
1	Heartrate_Mean	300615	150630	-0.0848069869275741
